qid,name
Q157463,"1. FC Saarbrücken"
Q2176062,"A.C. Bellaria Igea Marina"
Q3625800,"A.C. Cantù G.S. San Paolo"
Q610621,"A.C. Carpi"
Q3625870,"A.C. Crema 1908"
Q609554,"A.C. Cuneo 1905 Olmo"
Q289186,"A.C. Fanfulla 1874"
Q430931,"A.C. Juvenes/Dogana"
Q289289,"A.C. Legnano"
Q3626071,"A.C. Meda 1913"
Q3305152,"A.C. Palazzolo 1913"
Q16344,"A.C. Perugia Calcio"
Q289656,"A.C. Prato"
Q289707,"A.C. Reggiana 1919"
Q289668,"A.C. Renate"
Q581713,"A.C. Rodengo Saiano"
Q3470711,"A.C. Sambonifacese"
Q2556933,"A.C.S.D. Saluzzo"
Q4647113,"A.D. Voluntas Calcio Spoleto"
Q3626796,"A.S. Bisceglie Calcio 1913"
Q3626798,"A.S. Fasano"
Q4647373,"A.S. Fortis Spoleto F.C."
Q3626885,"A.S. Lodigiani"
Q2314607,"A.S. Martina Franca 1947"
Q19523,"A.S. Nancy-Lorraine"
Q3391273,"A.S. Ostia Mare 1945"
Q298392,"A.S. Pescina Valle del Giovenco"
Q2755428,"A.S. Pizzighettone"
Q3626807,"A.S. Real Cesenatico"
Q2095185,"A.S.D. Barletta 1922"
Q2891756,"A.S.D. Battipagliese"
Q297416,"A.S.D. Biellese 1902"
Q16836858,"A.S.D. Boca Ascesa Val Liona"
Q2456343,"A.S.D. Calcio Ivrea"
Q3626858,"A.S.D. Cascina Calcio"
Q1886341,"A.S.D. Casertana Calcio"
Q297431,"A.S.D. Castel di Sangro Calcio"
Q3893297,"A.S.D. Casteldebole Panigal 1919"
Q1451177,"A.S.D. Centese 1913"
Q3678801,"A.S.D. Civitavecchia 1920"
Q2818907,"A.S.D. Elpidiense Cascinare"
Q3627183,"A.S.D. G.C. Sora"
Q1130870,"A.S.D. Mestrina 1929"
Q4005153,"A.S.D. Nerostellati Frattese"
Q384592,"A.S.D. Ponziana"
Q3867441,"A.S.D. Real S.M. Hyria Nola 2012"
Q747976,"A.S.D. Riccione 1929"
Q3626877,"A.S.D. S.F. Gladiator"
Q289696,"A.S.D. SanGiovanniValdarno"
Q1899815,"A.S.D. Sanremese"
Q3626916,"A.S.D. Stuoie Baracca Lugo"
Q3626919,"A.S.D. Sulmona Calcio"
Q3758194,"A.S.D. Union ArzignanoChiampo"
Q16960063,"A.S.D. Vittorio Falmec San Martino Colle"
Q3660099,"A.S.D.C. Verbania"
Q289112,"AC Bellinzona"
Q6664,"AC Cesena"
Q2037,"AC ChievoVerona"
Q240783,"AC Omonia"
Q2819082,"AC Semassi F.C."
Q10383,"AD Alcorcón"
Q290781,"AD Almería"
Q290841,"AD Ceuta"
Q5773365,"AD Ceuta FC"
Q290860,"AD Fafe"
Q3756304,"AD San Juan"
Q291447,"AEK Larnaca F.C."
Q412433,"AFC Ajax Vrouwen"
Q18505,"AFC Telford United"
Q48851,"AFC Wimbledon"
Q292618,"AGOVV Apeldoorn"
Q221602,"AIK Fotboll"
Q298267,"AS Cannes"
Q8476,"AS Reggina 1914"
Q2868069,"AS Troyes"
Q732251,"ASD Derthona FBC 1908"
Q3747548,"ASD FBC Saronno 1910"
Q1082273,"ASD Soccer Trani"
Q852266,"ASEC Mimosas"
Q2697893,"ASIL Lysi"
Q16836329,"ATK (football club)"
Q214992,"Aalesunds FK"
