player,action,earlier_stint,later_stint,resolution
Beñat Prados,TRIMMED,CD Baskonia 2018-2020,Athletic Bilbao B 2019-2022,CD Baskonia end shown as 2019
Manuel Neuer,TRIMMED,FC Schalke 04 II 2004-2008,Schalke 04 2006-2011,FC Schalke 04 II end shown as 2006
Mats Hummels,TRIMMED,FC Bayern Munich II 2005-2008,FC Bayern Munich 2007-2009,FC Bayern Munich II end shown as 2007
Pierre-Emile Højbjerg,TRIMMED,FC Bayern Munich II 2012-2014,FC Bayern Munich 2013-2015,FC Bayern Munich II end shown as 2013
Unai Gómez,TRIMMED,Athletic Bilbao B 2022-2024,Athletic Club 2023-?,Athletic Bilbao B end shown as 2023
Fermín López,TRIMMED,FC Barcelona Atlètic 2022-2024,FC Barcelona 2023-?,FC Barcelona Atlètic end shown as 2023
Delfí Geli,TRIMMED,FC Barcelona Atlètic 1989-1991,FC Barcelona 1990-1992,FC Barcelona Atlètic end shown as 1990
Rafael Alkorta,TRIMMED,Athletic Club 1978-1985,Athletic Bilbao B 1984-1987,Athletic Club end shown as 1984
Mikel Jauregizar,NEEDS_REVIEW,Athletic Bilbao B 2023-2024,Athletic Club 2023-?,same start years; left as-is
Asier Illarramendi,TRIMMED,Real Sociedad B 2007-2011,Real Sociedad 2009-2013,Real Sociedad B end shown as 2009
Sead Kolašinac,NEEDS_REVIEW,FC Schalke 04 II 2012-2015,Schalke 04 2012-2017,same start years; left as-is
Oliver Kahn,NEEDS_REVIEW,Karlsruher SC II 1987-1990,Karlsruher SC 1987-1994,same start years; left as-is
Javier Calleja,NEEDS_REVIEW,Real Madrid Castilla 1996-1998,Real Madrid C 1996-1998,same start years; left as-is
Sebastian Kehl,TRIMMED,Borussia Dortmund 2002-2015,Borussia Dortmund II 2004-2011,Borussia Dortmund end shown as 2004
Eric Dier,NEEDS_REVIEW,Sporting CP B 2012-2014,Sporting CP 2012-2014,same start years; left as-is
Valter Bonacina,NEEDS_REVIEW,F.C. AlzanoCene 1909 1981-1986,Centro Giovanile Virescit Boccaleone 1981-1986,same start years; left as-is
Kevin-Prince Boateng,TRIMMED,Hertha BSC II 2004-2007,Hertha BSC 2005-2007,Hertha BSC II end shown as 2005
Marcel Schmelzer,TRIMMED,Borussia Dortmund II 2007-2009,Borussia Dortmund 2008-2022,Borussia Dortmund II end shown as 2008
José Luis Gayà,NEEDS_REVIEW,Valencia CF Mestalla 2012-2014,Valencia CF 2012-?,same start years; left as-is
Mehmet Scholl,NEEDS_REVIEW,Karlsruher SC II 1989-1991,Karlsruher SC 1989-1992,same start years; left as-is
Ayoze Pérez,TRIMMED,CD Tenerife B 2011-2013,C.D. Tenerife 2012-2014,CD Tenerife B end shown as 2012
Ricardo Costa,TRIMMED,FC Porto B 2000-2003,FC Porto 2001-2007,FC Porto B end shown as 2001
Roman Weidenfeller,NEEDS_REVIEW,Borussia Dortmund II 2002-2004,Borussia Dortmund 2002-2018,same start years; left as-is
Bernardo Silva,NEEDS_REVIEW,S.L. Benfica 2013-2015,S.L. Benfica B 2013-2015,same start years; left as-is
Julio Salinas,TRIMMED,Athletic Bilbao B 1981-1984,Athletic Club 1982-1986,Athletic Bilbao B end shown as 1982
Dietmar Hamann,TRIMMED,FC Bayern Munich II 1992-1994,FC Bayern Munich 1993-1998,FC Bayern Munich II end shown as 1993
Xabier Eskurza,TRIMMED,Athletic Bilbao B 1988-1991,Athletic Club 1989-1994,Athletic Bilbao B end shown as 1989
Nelson Valdez,TRIMMED,SV Werder Bremen II 2001-2005,SV Werder Bremen 2002-2006,SV Werder Bremen II end shown as 2002
Marc-André ter Stegen,TRIMMED,Borussia Mönchengladbach 1996-2010,Borussia Mönchengladbach II 2009-2011,Borussia Mönchengladbach end shown as 2009
Daniel García Carrillo,NEEDS_REVIEW,Real Sociedad 2012-2014,SD Eibar 2012-2018,same start years; left as-is
Nélson Semedo,TRIMMED,S.L. Benfica B 2012-2016,S.L. Benfica 2015-2017,S.L. Benfica B end shown as 2015
Javi Navarro,TRIMMED,Valencia CF Mestalla 1993-2000,Valencia CF 1994-2000,Valencia CF Mestalla end shown as 1994
George Best,NEEDS_REVIEW,San Jose Earthquakes 1979-1980,Hibernian F.C. 1979-1980,same start years; left as-is
Óscar Vales,TRIMMED,Athletic Bilbao B 1993-1995,Athletic Club 1994-2005,Athletic Bilbao B end shown as 1994
Óscar Tabuenka,TRIMMED,Athletic Bilbao B 1989-1991,Athletic Club 1990-1997,Athletic Bilbao B end shown as 1990
Sven Bender,NEEDS_REVIEW,Borussia Dortmund II 2009-2012,Borussia Dortmund 2009-2017,same start years; left as-is
