qid,name,reason
Q16344,A.C. Perugia Calcio,no confident match among: Perugia (Italy)
Q289707,A.C. Reggiana 1919,no confident match among: Reggiana (Italy)
Q1886341,A.S.D. Casertana Calcio,no results
Q8476,AS Reggina 1914,no confident match among: Reggina (Italy)
Q429630,Al Jazira Club,no results
Q283545,Al Sadd Sports Club,no results
Q2636005,Al-Shabab Football Club,no results
Q576285,Albacete Balompié,no results
Q338285,América Futebol Clube,no confident match among: América de Natal (Brazil); América de Propriá (Brazil); América Mineiro Women (Brazil)
Q1967477,Antiguoko,no results
Q16539606,Arta/Solar7,no results
Q6630,Ascoli Calcio 1898 FC,no results
Q780539,Atlético Madrid B,no confident match among: Atlético Madrid (Spain); Atlético Madrid C (Spain); Atlético Madrileño (Spain); Atlético Madrid Juvenil (Spain)
Q652516,Benevento Calcio,no confident match among: Benevento (Italy)
Q956520,Bermeo FT,no results
Q219703,Boavista F.C.,ambiguous: Boavista (Portugal); Boavista SC (Brazil)
Q6651,Brescia Calcio,no confident match among: Brescia Calcio Femminile (Italy); Brescia (Italy)
Q211906,Brøndby IF,no confident match among: BSI (Denmark); Brøndby (Denmark); Brøndby Women (Denmark)
Q727093,CD Baskonia,no soccer results
Q657865,CD Logroñés,ambiguous: SD Logroñés (Spain); UD Logroñés (Spain)
Q5014111,CR Vasco da Gama,no confident match among: Vasco da Gama (Brazil); Vasco da Gama-AC (Brazil); Vasco da Gama Vidigueira (Portugal)
Q139399,Calcio Foggia 1920,no results
Q8428,Calcio Padova,no confident match among: Padova (Italy)
Q980573,Club Atlético River Plate,no confident match among: River Plate U20 (Argentina); River Plate Montevideo (Uruguay)
Q12158,Club Deportivo Numancia de Soria,no confident match among: Numancia B (Spain)
Q207373,Club Social y Deportivo Colo Colo,no results
Q17479,Clube de Regatas do Flamengo,no confident match among: Flamengo (Brazil); Flamengo U20 (Brazil)
Q460448,Cádiz Club de Fútbol,no confident match among: Cádiz (Spain); Cádiz Mirandilla (Spain)
Q24886174,Danok Bat CF,no results
Q2710,Delfino Pescara 1936,no confident match among: Pescara (Italy)
Q274465,E.C. Vitória,no confident match among: Vitória (Brazil); CD Vitoria (Spain); Vitória-ES (Brazil); Porto Vitória (Brazil)
Q910453,Esporte Clube Juventude,no confident match among: Juventude (Brazil); Juventude Women (Brazil)
Q2346842,FC Barcelona C,no confident match among: Barcelona (Spain); Espanyol B (Spain); Barcelona SC (Ecuador); Barcelona-RO (Brazil)
Q19512,FC Sochaux-Montbéliard,no confident match among: Sochaux (France); Sochaux II (France)
Q188656,FK Partizan,no confident match among: Partizani B (Albania); Partizani Tirana (Albania); Partizan Belgrade (Serbia); Partizani Tirana Women (Albania)
Q6601875,Fenerbahçe Istanbul,no results
Q134241,Feyenoord Rotterdam,no confident match among: Feyenoord (The Netherlands)
Q933676,Gernika Club,no results
Q257984,Gimnàstic de Tarragona,no confident match among: Gimnàstic (Spain)
Q11963,Hércules CF,ambiguous: Hércules (Spain); CD Hércules (El Salvador)
Q459794,Piacenza Calcio,no results
Q5409057,Q5409057,no results
Q19597,Rangers F.C.,ambiguous: Rangers (Scotland); AC Rangers (DR Congo)
Q2698432,Real Betis B,no confident match among: Real Betis (Spain); Real Betis Juvenil (Spain)
Q732002,Royal Antwerp F.C.,no confident match among: Antwerp (Belgium)
Q19585,Royal Charleroi S.C.,no confident match among: Zébra Élites (Belgium); Olympic Charleroi (Belgium)
Q1349814,S.C. Ravenna Sport,no results
Q131499,S.L. Benfica,ambiguous: Benfica (Portugal); CF Benfica (Portugal)
Q297430,S.S. Arezzo,no confident match among: Arezzo (Italy); Arezzo Women (Italy)
Q219233,SBV Vitesse,no confident match among: Vitesse (The Netherlands)
Q208399,SC Bastia,ambiguous: Bastia (France); CA Bastia (France)
Q1065084,SCD Durango,no results
Q3933827,SD Retuerto Sport,no results
Q389900,Santutxu FC,no results
Q1032444,Sestao Sport Club,no results
Q11971,Sociedad Deportiva Huesca,no confident match among: Huesca (Spain)
Q193377,Stade Malherbe Caen,no results
Q29400,Taranto Sport,no results
Q611222,Treviso F.B.C. 1993,no results
Q298217,U.S. Avellino 1912,no results
Q847587,U.S. Salernitana 1919,no results
Q3752096,UDC Chantrea,no results
Q837218,UE Lleida,no confident match among: Atlètic Lleida (Spain); Lleida Esportiu (Spain)
Q6767,US Livorno 1915,no results
Q10407,Unión Deportiva Almería,no confident match among: Almería (Spain); Almería B (Spain)
Q8643,Vicenza Calcio,no confident match among: Vicenza Femminile (Italy)
Q19482,Wimbledon F.C.,ambiguous: Wimbledon FC (England); AFC Wimbledon (England)
